lgE,X,Y,Ze,Az,lgNe,lgNmu,Age
13.8003,-47.631,-25.0629,18.6648,66.4032,2.86301,3.0407599999999997,0.570595
14.0378,-6.59192,20.3708,31.3672,359.32599999999996,3.41581,2.97437,1.0512299999999999
14.1524,-42.6414,-32.9137,37.5995,294.22900000000004,3.22796,3.07253,1.00768
14.3124,-66.2394,-37.376999999999995,33.6783,302.926,3.43845,3.3318,1.15137
14.4362,-26.2761,-79.8581,27.9328,247.578,4.35077,3.1310000000000002,1.41592
14.3411,-61.0895,-38.7274,24.3781,187.201,4.31964,3.07199,0.9498979999999999
14.2328,71.6411,-19.3637,27.6054,350.337,3.1953099999999997,3.4224699999999997,1.27108
14.3533,17.8759,71.252,25.1727,303.78,3.76148,3.4224900000000003,1.09295
13.9372,-15.0149,75.1887,19.3852,16.8831,3.8311900000000003,2.79793,1.03253
13.905,12.7489,-17.0291,24.6494,282.915,3.81673,2.64045,1.08469
14.2034,-6.86658,71.2749,13.2802,237.421,3.94256,3.2513900000000002,1.23812
14.0252,-13.0464,2.8382,22.2796,306.259,3.3556,3.1511299999999998,0.726865
13.9126,-45.8457,-19.4324,29.8927,40.1284,2.91958,3.0375400000000004,1.22377
14.293,72.282,-18.4253,38.9425,204.56900000000002,2.08328,3.5361300000000004,0.700299
13.9978,-8.21698,-46.0289,40.8395,82.5537,2.4478299999999997,3.06365,1.07216
14.4479,9.81915,29.8467,30.1417,91.626,4.46291,2.96575,1.4429299999999998
14.2262,-19.6841,30.4875,34.2532,141.03,3.12656,3.31757,1.0397399999999999
13.9415,-29.5262,-15.8389,13.3585,322.39799999999997,3.3093800000000004,3.13285,1.26365
14.3535,-13.6187,44.358000000000004,39.9819,31.9154,2.81122,3.45496,0.8886229999999999
13.8743,46.8529,-35.8663,15.2247,102.885,3.2248,3.0552200000000003,1.14915
14.057,41.9775,-5.6992199999999995,33.6419,272.553,3.2895800000000004,3.01114,1.3151700000000002
14.012,-8.5603,87.7317,17.3945,124.01,3.5247599999999997,3.11741,1.21908
14.3404,-54.7723,1.7166099999999997,30.8286,83.2753,3.3372,3.4720199999999997,0.936192
14.0999,-20.119,-46.1204,30.518,206.94299999999998,3.11082,3.2214400000000003,1.32795
14.087,18.7,84.0696,31.0916,123.795,3.21214,3.1534,1.25901
14.0856,-30.9453,21.7212,25.188000000000002,21.075,3.7933,2.97539,1.1113600000000001
13.9225,-21.8814,-9.63605,24.739,178.68599999999998,3.34499,2.9670099999999997,1.13588
14.2511,-1.80817,85.6947,6.97375,100.55,3.81399,3.4177699999999995,1.24322
13.8933,-20.8514,38.0637,23.3135,343.275,3.77425,2.68417,1.0017399999999999
14.1819,-27.6036,14.0078,21.2682,1.81225,3.62616,3.2823599999999997,0.983132
14.4675,40.3754,-39.2538,28.8687,106.35,4.4878599999999995,3.03295,1.4799
13.7891,18.6771,-24.4221,10.5271,28.324,3.27568,2.94487,1.25348
14.1984,-5.3559,32.3873,27.2067,66.596,4.01147,2.9748099999999997,1.33892
14.4377,35.1796,-22.590999999999998,22.593000000000004,295.843,4.3185199999999995,3.2924300000000004,1.2283899999999999
14.015999999999998,-32.4102,70.4739,30.7726,300.574,3.0133099999999997,3.13357,1.16472
14.3657,-69.6727,41.4512,19.2439,354.80400000000003,4.01788,3.40555,1.2768700000000002
13.9057,14.7173,-29.1371,17.7065,7.87695,3.5064,2.96038,0.789275
14.4232,50.7438,-9.22406,22.9078,278.056,4.410480000000001,3.18965,0.753934
14.1392,58.5718,19.707,34.0672,123.382,3.37325,3.0861400000000003,1.30024
14.0496,63.8132,-20.3937,25.4818,216.429,3.4847099999999998,3.08359,0.6414810000000001
14.091,19.4095,35.3398,27.1536,136.222,4.103680000000001,2.68099,0.980484
13.8953,-24.2161,-11.1467,33.1844,45.2511,2.7702400000000003,3.00237,0.453883
13.8599,8.21698,-11.3985,23.7681,350.73900000000003,3.73236,2.64364,0.9618190000000001
13.7814,-14.4198,-13.9849,26.794,269.33099999999996,2.68856,2.97863,0.47016099999999994
14.4069,31.3115,69.9016,25.4189,285.151,3.7039199999999997,3.5215699999999996,1.34663
14.2924,29.1143,16.434,24.1472,93.7026,3.9245900000000002,3.26347,1.15191
14.3705,41.2909,38.9792,22.2377,86.0625,3.8795699999999997,3.43959,1.1528200000000002
14.0173,-76.37899999999999,16.7315,30.5754,163.499,3.02204,3.13592,0.853611
14.6928,8.628969999999999,18.5855,35.9865,17.1585,3.95382,3.6010199999999997,1.26193
14.4761,-43.3738,-23.8041,27.4557,191.019,3.8077900000000002,3.54619,1.28728
14.2598,45.1362,55.5276,26.7395,241.657,3.3939800000000004,3.4081699999999997,1.11501
13.8083,59.2583,45.9374,24.3277,228.167,2.3766599999999998,3.10796,0.9806010000000001
14.1411,-3.4104,-63.9734,31.2497,65.8303,3.07108,3.2787800000000002,0.663455
14.116,45.7084,-45.6397,24.7921,157.02700000000002,3.3606300000000005,3.2459,1.18381
14.265,-4.02838,-44.9988,30.4187,129.59,3.42487,3.3403699999999996,1.2116
14.3676,45.205,68.6199,16.7342,94.6556,4.060569999999999,3.4161699999999997,1.02588
14.542,-17.4182,72.694,26.6947,4.4838,3.90714,3.61429,1.12173
14.1704,2.99841,25.5436,15.3506,36.6471,3.78542,3.25886,1.15519
14.0914,-43.3738,-4.21149,34.1357,265.464,2.85581,3.22437,1.16974
13.9988,-25.4978,-48.2719,31.093000000000004,346.96,2.53456,3.23664,0.1
13.9486,66.6742,37.4685,6.26449,32.8022,3.5202,3.0979,0.977165
14.290999999999999,50.6522,52.3232,35.4675,45.5651,3.29205,3.31736,0.68855
14.0537,-39.5743,-77.3861,14.647,249.53900000000002,3.7004699999999997,3.1263,1.32996
14.0285,-44.1749,-46.7613,35.4171,128.32299999999998,2.90226,3.09294,1.21004
13.9732,23.3005,-35.8434,22.4965,62.338,3.00049,3.19555,0.8958299999999999
14.4137,-33.7834,31.7693,27.4949,260.193,3.91416,3.3991300000000004,1.37941
14.0821,-2.72375,45.4796,27.1074,109.605,3.23568,3.20948,1.14782
14.0144,-50.6295,64.2023,13.4593,54.7475,4.10621,2.81828,0.844052
14.2385,57.6562,-57.1069,30.2872,199.044,3.8003099999999996,3.10988,1.38265
14.1925,-70.8171,-23.8956,47.7838,9.72225,2.21949,3.1631099999999996,0.1
13.908,-19.4324,-8.49164,25.9211,30.4612,3.2218400000000003,2.98115,1.27861
14.0992,-47.8599,9.70471,20.0945,220.45,3.94014,2.99864,1.2249
14.0764,-20.6912,-28.9998,40.5275,338.599,3.4017199999999996,2.69792,1.24916
14.3016,39.9176,1.89972,22.7595,29.0786,3.9502,3.2882599999999997,1.40382
14.3955,-6.36304,-71.2291,36.8371,231.417,2.96519,3.54072,1.1899600000000001
14.208,-62.5773,14.7402,38.3256,147.216,3.25464,3.1217099999999998,0.944573
14.1167,-63.8132,50.6522,9.92273,93.92299999999999,3.9793,3.11698,0.741796
14.0553,-79.8352,-28.5649,23.9961,232.75599999999997,2.85305,3.3227300000000004,0.1
14.222000000000001,34.8134,49.7367,29.7094,144.47899999999998,3.5121,3.2532900000000002,0.966158
14.1785,-16.0677,-75.3491,14.7071,27.3269,2.9373099999999996,3.5217,0.910366
13.8589,-2.0828900000000004,-5.81366,21.4067,6.30156,3.21536,2.9760400000000002,0.8530639999999999
14.0975,-33.2112,-20.0504,24.0927,340.56,3.49274,3.17518,1.20841
14.3041,-29.2744,-46.9444,32.3325,201.58900000000003,3.68992,3.22876,1.29182
14.384,-19.4553,5.6992199999999995,30.3054,161.32299999999998,3.53171,3.4722199999999996,1.27839
14.089,-36.0494,18.3337,30.1907,85.7045,2.7168900000000002,3.32281,1.02298
14.3354,40.9705,-67.4754,24.8607,231.47799999999998,3.05781,3.61859,0.854751
14.1184,4.89813,-3.29596,29.1792,41.3512,3.7626199999999996,2.95617,0.926106
14.5673,58.8921,-60.975,25.9673,246.543,3.97281,3.63551,0.98969
14.3966,47.4708,-10.8034,12.6465,161.692,3.9179199999999996,3.5579400000000003,1.19605
14.4599,-48.1346,70.6798,41.2214,317.92,3.64457,3.18614,0.993957
14.2566,47.7455,8.44586,22.1929,52.3239,3.4667199999999996,3.43846,1.23463
14.2275,-7.095460000000001,-79.7208,41.5837,117.344,2.97844,3.16698,1.0166
13.8904,-6.52325,23.5294,24.3962,9.16039,3.21181,2.98316,1.3282
14.349,8.537410000000001,-1.51062,33.19,356.63800000000003,3.9108300000000003,3.13965,0.9941409999999999
14.4217,80.4761,15.2209,36.2929,176.851,2.72797,3.63764,0.1
14.2318,-19.500999999999998,-17.5555,19.4328,85.5998,2.85367,3.57142,1.17816
14.3302,18.4253,-73.312,32.2247,49.7845,3.65651,3.29146,1.3899299999999999
